variant,layer,projection,frob_E,spec_E_check,frob_W,ratio
d3,20,down_proj,1.705786943435669,1.705786943435669,73.04698944091797,0.02335191301505105
d3,21,o_proj,1.0470744371414185,1.0470744371414185,52.244346618652344,0.020041870650318185
d3,21,down_proj,1.6789679527282715,1.6789679527282715,72.85941314697266,0.023043940106152686
d3,22,o_proj,1.1694539785385132,1.1694539785385132,56.74308776855469,0.020609628846926964
d3,22,down_proj,1.9259535074234009,1.9259535074234009,72.08293914794922,0.0267185762704599
d3,23,o_proj,1.3279893398284912,1.3279893398284912,62.50578308105469,0.021245863572438
d3,23,down_proj,1.981321930885315,1.981321930885315,74.24793243408203,0.02668521352623994
d3,24,o_proj,1.3230496644973755,1.3230496644973755,54.16752243041992,0.024425146381706474
d3,24,down_proj,1.9777228832244873,1.9777228832244873,85.16482543945312,0.02322229715166298
d3,25,o_proj,1.325527548789978,1.325527548789978,58.29996109008789,0.022736336766017894
d3,25,down_proj,1.8621869087219238,1.8621869087219238,83.83642578125,0.022212145751308993
d3,26,o_proj,1.2909986972808838,1.2909986972808838,58.45262145996094,0.022086241216147957
d3,26,down_proj,1.8421059846878052,1.8421059846878052,83.2928466796875,0.02211601665833132
d3,27,o_proj,1.3065743446350098,1.3065743446350098,57.23421096801758,0.02282855520389933
d3,27,down_proj,1.7776418924331665,1.7776418924331665,80.03752136230469,0.022210106737143204
d3,28,o_proj,1.1383111476898193,1.1383111476898193,54.24738311767578,0.02098370616736563
d3,28,down_proj,1.7415744066238403,1.7415744066238403,77.897705078125,0.0223571978773596
d3,29,o_proj,1.373787760734558,1.373787760734558,59.80091857910156,0.022972686597069285
d3,29,down_proj,1.9129559993743896,1.9129559993743896,78.30254364013672,0.024430317464091127
d3,30,o_proj,1.218629240989685,1.218629240989685,55.84449005126953,0.021821834882383023
d3,30,down_proj,1.9492765665054321,1.9492765665054321,87.99722290039062,0.022151569132038817
d3,31,o_proj,1.1977933645248413,1.1977933645248413,56.45244216918945,0.021217742200328963
d3,31,down_proj,1.7529469728469849,1.7529469728469849,88.03897094726562,0.019911034329296976
d3,32,o_proj,1.1098289489746094,1.1098289489746094,58.05116653442383,0.019118116227974345
d3,32,down_proj,1.5933148860931396,1.5933148860931396,87.92033386230469,0.018122257003578824
d3,33,o_proj,1.2725352048873901,1.2725352048873901,56.562347412109375,0.022497920668245717
d3,33,down_proj,1.7173309326171875,1.7173309326171875,93.35466766357422,0.018395769334276873
d3,34,o_proj,1.2050244808197021,1.2050244808197021,58.65534973144531,0.020544153028443795
d3,34,down_proj,1.6874045133590698,1.6874045133590698,91.57036590576172,0.018427408219550384
d3,35,o_proj,1.4725128412246704,1.4725128412246704,65.68130493164062,0.022419055814393806
d3,35,down_proj,1.6483452320098877,1.6483452320098877,88.97764587402344,0.018525385964286493
d3,36,o_proj,1.4412143230438232,1.4412143230438232,61.06275177001953,0.023602184331159275
d3,36,down_proj,1.6844483613967896,1.6844483613967896,89.95733642578125,0.01872496928348399
d3,37,o_proj,1.245078444480896,1.245078444480896,58.566436767578125,0.021259248696006733
d3,37,down_proj,1.7587002515792847,1.7587002515792847,93.49392700195312,0.01881085015866907
d3,38,o_proj,1.0307369232177734,1.0307369232177734,57.09755325317383,0.018052208273223666
